title,start_dt_local,start_date,venue,city,state,country,price_min,price_max,place,price
Aur Aahista : Baithak & Jam,2025-10-12 19:00,2025-10-12,,,,,399,399,,399
BABY OLYMPICS BENGALURU 2025,2025-10-26 11:00,2025-10-26,,,,,1800,1800,,1800
Bangalore Bhangra Club Workshop,2025-10-04 16:00,2025-10-04,,,,,349,349,,349
Banger Issues ft. Kaustubh Aggarwal,2025-10-12 20:00,2025-10-12,,,,,399,399,,399
Bastian Live ft. Avinash Gupta,2025-10-12 20:00,2025-10-12,,,,,499,499,,499
Bean Mosaic Art workshops Event Tickets Mumbai - BookMyShow,,,,,,,,,,
Biggest Dandiya Night 2025 ft Dj Sassy,2025-10-01 18:00,2025-10-01,,,,,99,99,,99
Blind Date,2025-10-04 11:00,2025-10-04,,,,,199,199,,199
SEX JOKES NIGHT,2025-10-12 23:59,2025-10-12,,,,,1299,1299,,1299
Boardgaming Meetup,2025-10-04 17:00,2025-10-04,,,,,300,300,,300
Boho Texture Art Date - Bangalore,2025-10-19 18:00,2025-10-19,,,,,1299,1299,,1299
Bollywood Music Jam,2025-10-04 17:30,2025-10-04,,,,,2500,2500,,2500
Epic Day Pass,2025-10-04 15:00,2025-10-04,,,,,1899,1899,,1899
Bottle Decoupage Workshop - Bangalore Workshops Event Tickets - BookMyShow,,,,,,,,,,
Boy Band Fever MLTR & Backstreet Boys Ft. Showcase,2025-10-11 21:30,2025-10-11,,,,,499,499,,499
Business Networking Meet @ Casa Karaoke,2025-10-12 10:00,2025-10-12,,,,,500,500,,500
Canvas painting,2025-10-02 17:00,2025-10-02,,,,,1599,1599,,1599
Centigrade Club Nights ft. MY FRIEND / 11th Oct music-shows Event Tickets Bengaluru - BookMyShow,,,,,,,,,,
CentiGrade Club Nights Ft MY FRIEND music-shows Event Tickets Bengaluru - BookMyShow,,,,,,,,,,
Chandralekha - The Lost Courtesan,2025-10-04 15:00,2025-10-04,,,,,1770,1770,,1770
Clay Buddies,2025-10-04 15:00,2025-10-04,,,,,999,999,,999
Clay Miniature Magnet - Bangalore,2025-10-11 17:00,2025-10-11,,,,,2599,2599,,2599
Mini Clay Planters,2025-10-03 15:00,2025-10-03,,,,,699,699,,699
Coil Pottery Date - Bangalore Workshops Event Tickets - BookMyShow,,,,,,,,,,
Colours of light,2025-10-02 11:00,2025-10-02,,,,,400,400,,400
Mid-night Comedy,2025-10-03 23:59,2025-10-03,,,,,399,399,,399
Comic Lalit Live,2025-10-05 20:00,2025-10-05,,,,,149,149,,149
ComicCast Society: Live Stand-Up Comedy Evening,2025-10-03 19:30,2025-10-03,,,,,108,108,,108
Couple Dance Workshop @newyorkdanceclasses,2025-10-04 19:00,2025-10-04,,,,,1599,1599,,1599
Couples' Cook-off,2025-10-05 16:30,2025-10-05,,,,,999,999,,999
Crochet Workshop,2025-10-05 15:00,2025-10-05,,,,,1599,1599,,1599
Cubbon Jams X FITF,2025-10-04 18:00,2025-10-04,,,,,499,499,,499
Quick Connections,2025-10-05 16:00,2025-10-05,,,,,299,299,,299
